형식,질문수,결론노출,답변,답변율(결론 기준),비중(%),ci_lo,ci_hi
선호(최애)형,69,309,177,0.5728155339805825,7.885714285714286,0.5170989149161438,0.6267439125966632
양자택일형,247,492,268,0.5447154471544715,28.22857142857143,0.5005344721484711,0.5882035694518607
상상형,44,128,67,0.5234375,5.0285714285714285,0.43749793124049374,0.6080112739341855
성향·습관형,251,531,273,0.5141242937853108,28.685714285714287,0.47166504083656235,0.5563806533642472
개념·가치형,70,122,53,0.4344262295081967,8.0,0.34980063310587917,0.5230552591418602
인물 지목형,32,54,22,0.4074074074074074,3.6571428571428575,0.28678212085914573,0.5403315065650942
일화 회상형,140,342,135,0.39473684210526316,16.0,0.34437757851675516,0.4474345418533208
기타,22,50,14,0.28,2.5142857142857142,0.17474170665911226,0.41665123695956563
