term,odds_ratio,or_lo,or_hi,p,q_fdr,판정
관심사_감정,1.0707300913457145,0.7663573669163724,1.4959899623934954,0.6887900378727905,0.7612942523857158,근거 부족
관심사_관계,0.5847839635109732,0.38868257473196444,0.8798240677895769,0.010044524990083131,0.10546751239587288,경향(FDR<20%)
관심사_루틴,0.7385549361732102,0.4949017809301869,1.1021649441644668,0.13788355171008923,0.36194432323898423,근거 부족
관심사_사랑,1.120898566392169,0.7423614930472137,1.6924552363064345,0.5872149761582389,0.7253832058425305,근거 부족
관심사_취향,0.7379167567307044,0.5393824868355107,1.0095269185668205,0.057345642493288544,0.21882067412064204,근거 부족
레벨2,0.8664711386433627,0.6589687276739102,1.1393139045491154,0.304815065503532,0.5362915628957045,근거 부족
시점 고정=1,0.9130845080676441,0.6006533974716395,1.3880273088982182,0.6704556563251225,0.7612942523857158,근거 부족
시점 고정=2,0.6333727439173948,0.39169637626571413,1.0241632474672555,0.06252019260589772,0.21882067412064204,근거 부족
경험 전제=1,1.0190284560855256,0.7755856850466236,1.3388836518425766,0.8923468230939285,0.936964164248625,근거 부족
경험 전제=2,0.4751040034623732,0.34496197262462025,0.654344049544273,5.192509121529238e-06,0.00010904269155211401,유의(FDR<5%)
인지 노력(1~3),0.8122201850128907,0.6570695315331656,1.0040058126010913,0.054479978507614914,0.21882067412064204,근거 부족
감정 무게(1~3),1.1676925803425278,0.8473089218484272,1.6092194086809164,0.3434305407674034,0.5362915628957045,근거 부족
자기노출(1~3),0.8613015193459942,0.6276550610178638,1.1819235648712538,0.3550914589264311,0.5362915628957045,근거 부족
은유·모호,0.8381587330766894,0.5198825780208255,1.3512860240617255,0.4687552219723369,0.6152412288386921,근거 부족
형식: 선호(최애)형,1.1647394829108058,0.8280083825677422,1.6384110253139152,0.38107384347159756,0.5362915628957045,근거 부족
형식: 양자택일형,0.7958409446962339,0.5789552217948668,1.0939754672070385,0.15952220282824225,0.37221847326589863,근거 부족
형식: 일화 회상형,0.8229266654921412,0.551839676990702,1.227183047929743,0.3391390899969243,0.5362915628957045,근거 부족
형식: 상상형,1.0006483758020233,0.6438502331204146,1.555170939587067,0.9977012234743754,0.9977012234743754,근거 부족
형식: 개념·가치형,0.6641751187642291,0.41326146636378724,1.0674321810520788,0.09095165861915837,0.27285497585747515,근거 부족
형식: 인물 지목형,0.7449930543499579,0.3844851643931516,1.4435268312775635,0.38306540206836037,0.5362915628957045,근거 부족
형식: 기타,0.4361165250880233,0.2053603551100308,0.9261652442748541,0.03080572178508896,0.21564005249562274,근거 부족
